店舗名,ジャンル,ホームページ,住所,経度,緯度,電話番号,電話番号2,営業時間,定休日,お店の特徴
Cafe &Cafe ポプリ,飲食,http://popuri-co.jp,島田市大津通り4－3,138.1776345,34.8352373,0547-36-7771,0547367771,AM10:00~LOPM9:30,第2・第4　木曜日,"トアルコトラジャコーヒーの飲める店として、県内からお客様が、おいでくださっています。実は　ハンバーグの美味しいお店としても、根強い人気店。イラストデコレーションは全国に発送している実力店　クオリティーの高さとリーズナブルなお値段は他店を寄せ付けません！"
和食工房　一鮮,飲食,http://www4.tokai.or.jp/issen/,島田市道悦5-12-34,138.2088849,34.8357164,0547-36-6416,0547366416,ランチタイム　11:00～14:00 デｲナータイム　17:00～22:00 (土曜日は23:30まで),月曜（月一回連休あり）,"和食を中心とした創作料理が楽しめるお店です。お寿司、肉料理、揚げ物、パスタ、鍋物などをご用意しています。女子に人気の「温野菜と厚切ベーコンの和風チーズフォンデュ」もありますよ。"
シバモク・ショップ,雑貨,http://www.shibamoku.com,島田市東町1379,138.2279584,34.8354333,0547-35-0612,0547350612,10:00?18:00,年中無休（臨時休業あり）イベント出店など,木製雑貨専門店のシバモク・ショップです。小さいお店ですが、木の製品がいっぱい！出産祝い等にぴったりな木のおもちゃ！お料理や食事が楽しくなる木の食器類など木製雑貨が好きな方ならワクワクするお店です。店内の商品は限られてしまいますが、オーダー家具や木製看板の製作等、企画・デザイン・製作・取付・修理まで対応いたしますので、お気軽にご相談ください！
ジョイプラザ島田店,その他,http://www.joyplaza.net/,島田市東町1109,138.2278945,34.8360943,0547-33-6111,0547336111,10:00～19:30,なし,新品・中古・アウトレット品の家電製品や家具・衣類・食器・雑貨何でも揃っています。
味わい処　座楽,飲食,https://r.gnavi.co.jp/5hbknu6z0000/,藤枝市青南町4-12-22,138.2355913,34.8372306,054-636-7890,054-367890,ランチ　11:00～14:０0ディナー　17:00～23:00（L.O.22:30）,水,"藤枝と島田の境にある「味わい処 座楽」。海鮮料理と20種以上の日本酒がウリ 他にはなかなかない「離乳食のメニュー」が充実お子様づれでも、ゆっくりと楽しめるお店です。送迎バスもありますので帰りを気にすることなく楽しめます。個室2～50名様迄OK"
朝日園　茶房遊,食品関連,,島田市川根町身成４６９３番地,138.0852025,34.9300835,0547-53-4488,0547534488,10時～18時,"冬季：火曜定休夏季：無休","川根町にあるお茶カフェです。家族みんなで楽しめる空間です。川根茶の販売はもちろんのこと、一年中提供しているかき氷は大人気♪その他、川根抹茶のジェラートやソフトクリリームなどがございます。"
お食事処たばこや,飲食,,島田市川根町家山６６０－２,138.0757836,34.9424877,0547-53-2103,0547532103,１１：００～１４：００・１７：００～２０：００,月曜日,"お昼は定食をメインに食事を提供しております。また法事、慶事等宴会などにもご利用頂けます。"
朝日園　駅前店,食品関連,,島田市川根町家山372-1,138.0775335,34.9408657,0547-53-2058,0547532058,8:00～17:00,年中無休,大井川鐡道家山駅から徒歩１０秒のお店の前には、ＳＬが走っています。囲炉裏の前でお茶を飲みながら、ＳＬの汽笛が聞こえてきます。店内のどのお茶も試飲が可能となっておりますので、お気軽にご相談ください。（喫茶はございません）
ラブリーホースガーデン,その他,http://www.lovelyhorsegarden.com/,島田市川根町家山1229-2,138.0669981,34.9353441,0547-53-4079,0547534079,9：00-17：00,不定休なので電話でご確認ください,島田からそう遠くない川根の家山に馬とポニーとヤギがいます。引馬体験もできるのでぜひこの機会にご来場ください。
マルイエ醤油川根本家,食品関連,http://www.maruie-shouyu.com,島田市川根町家山796,138.0757891,34.944307,0547-53-2212,0547532212,9：00～19：00,日曜日 祭日（シマアツ開催日は営業）,"創業43年。代々受け継がれてきた製法で、味噌醤油を製造販売しています。糀を使った調味料なども販売しています。"
ジャパンバザール,食品関連,,静岡県島田市阪本４２４５－３,138.2081656,34.8158022,0547-38-5505,0547385505,9:00～17:30,年始,地元の牧場で育った美味しい牛肉、県内産の柔らかい豚肉、地元農家の方々の朝どり新鮮野菜や季節の果物が店頭に並んでいます
お茶のさすき園,食品関連,http://sasuki.jp,島田市阪本938-1,138.2161871,34.8132052,0547-38-2107,0547382107,月～土9：00～19：00、日祝9：00～18：00,元日,"　この度さすき園は、なんと店舗を全面改装いたしました！！ 　店内も格段に広くなり、商品アイテムも増えております。さらにお茶屋でカフェを楽しめるスペースもできました。家族ずれのお客様にも楽しんでいただけるよう、中庭でお遊戯できる場所もあります。　お茶はどこにも負けない鮮度と品質。さすきは今までもこれからもより良くを追求し続けます。飲み茶から贈答品、配達も致します。"
株式会社カネハチ初倉店,食品関連,,島田市阪本1462-1,138.2187785,34.8076892,0547-38-1331,0547381331,9:00～20:00,"☆年２回　定期休業有（変更の可能性あり） *５月３週目の木曜日 *お正月年始１月２．３の２日間","地域に密着したいお店です 地域を盛り上げたいお店です お客様の為になる価値あるものを提供したいお店です お客様と笑顔で触れ合いたいお店です お客様を愛したいお店です そんな心のお店です"
クルマ買取・輸出　カースタ／（株）田中石油店,その他,http://www.facebook.com/CarexporterCARSTA/,島田市船木244-5,138.2229587,34.8046508,0547-38-0079,0547380079,7:00～20:00（日曜：8:00～19:00）,なし,"出光のガソリンスタンドです！車の輸出・買取だけでなくレンタカーや中古車の販売もしています。今年から新車の個人向けリースも始めました！クルマのことならなんでもご相談に乗ります。ぜひ一度お立ち寄りくださいね！"
株式会社　鈴木モータース,その他,http://www.carbell.jp/partner/partner_detail.php?cd=1000000639&no=0,島田市船木249-4,138.2238837,34.8042036,0547-38-0077,0547380077,８時～１７時,日曜　祝日,"鈴木モータースは創立してから60年以上、ダイハツの車を中心に、新車販売・中古車販売・点検・各種保険を扱ってきました。月々１万円（税別）のリースや、残価設定型クレジットで月々のお支払金額を抑えた買い方など、お客様のニーズに合わせた新しい買い方もお選びいただけます。"
有限会社　お茶のあおしま,食品関連,http://www.ocha-aoshima.co.jp,島田市井口1206,138.2338747,34.7947162,0547-38-3739,0547383739,9:00am-18:00pm,日曜日 祭日（シマアツ開催日は営業）,"静岡県内のお茶農家さんと共に考え、安心安全なお茶づくりを目指しています。店主がお客様のリクエストにお答えしてオリジナルのブレンド茶を作っています。世界にひとつだけの味を作りませんか？"
ゴルフ室内練習場　ショットメーカー,その他,,島田市中河996-1,138.2436325,34.801835,0547-38-3293,0547383293,6時～22時(21時受付終了),無し,"雨風に関係無く練習できる室内型です。時間制打ち放題なので、スイング作りに最適です。"
とろろ屋ととろ,飲食,http://tororoyatotoro.com,島田市金谷富士見町３１７２,138.1341098,34.8135351,０５４７－３２－９６３７,0547329637,11:00-15:00 17:00-22:00,木曜日定休日(水曜日ランチのみ営業),オリジナリティ溢れた自然薯料理、夜は居酒屋メニュー、島田のお酒も豊富にあります。お食事、宴会、法事、飲み会、全てに対応できます。
This Is Cafe 新金谷駅店,飲食,http://this-is-cafe.com/,島田市金谷東2-1112-2 新金谷駅構内,138.1370728,34.8261526,0547-46-5810,0547465810,9:00～17:00(16:30L.O.),"営業日は毎月Facebookにてお知らせしております。","This Is Cafe 新金谷駅店は、SL列車の始発駅でもある「大井川鐵道　新金谷駅」構内のコーヒースタンドです。ここではバリスタが淹れる本格コーヒーが味わえます。オーダーを受けてから一杯ごとに豆から挽き、いつでも挽き立ての味を堪能できます。This Is Cafe自慢のカフェラテを、SLとコラボさせた「SLラテ」が飲めるのは全４店舗の中でもここだけです。旅の思い出に記念撮影スポットもご用意しています。また、ホットドッグやサンドイッチなどの軽食はドリンクとの相性も抜群！ドリンク、フードすべてテイクアウト＆車内持ち込みＯＫです！ 至極の一杯を、ぜひSLと共にご堪能ください。"
Honda Cars 島田西　金谷店,その他,http://www.hondacars-shimadanishi.com,島田市金谷東１丁目１３００－１,138.1389531,34.8283935,0547-45-2324,0547452324,9:30～19:00,月,"当店は日当たり良好、とても明るく開放的なお店です。常時、展示・試乗車も多数ございます。ぜひ来て、見て、乗って、体感してみて下さい。旧車から新型車までメーカー問わず整備もお任せ下さい。キッズコーナーもご用意しております。お子様連れのお客様も安心してお越し下さいませ"
写真工房（有）モリサワ,その他,http://morisawastudio.com,島田市金谷栄町3537,138.1290766,34.8308607,0547-45-5753,0547455753,平日と土曜日9時から19時　日曜日と祝祭日9時から18時,木曜,証明写真から記念撮影、写真の現像からブリント、写真の事なら何でもご相談ください。大切な家族の今をのこす家族写真の撮影はいかがでしょうか？１名様から２０名様くらいまで、当スタジオで撮影可能です。また、出張撮影も承ります。マイナンバーやパスポートなどの証明写真もすぐに仕上げます。大人の肖像撮影、LIFEPHOTOも特別価格４，９８０円（６５歳以上・税別）にて好評予約受付中です。
アクトCafe,その他,http://www.act-home.jp/,島田市島76-1,138.133676,34.8401013,0547-45-3101,0547453101,7：30～17：30,"第１・３土曜/日曜※レンタルは第１・３土曜/日曜ともご利用いただけます。","アクトCafeでは、毎月、講師の方を招き、心豊かに暮らすヒントを学ぶ講座「くらし・たのしの会」を開催しています。日々の暮らしの中で、アクトCafeで学んだことをふと思い出し、“日常にプラスα”をしてもらえたらとうれしいです。また、会場はレンタルスペースとしてもご利用いただけます。木に包まれ、心地よい空間で、、誰でも利用可能な『レンタルスペース』。 ちょっとした会合や、各種教室、ライブ、イベント会場としてお使い頂けます。 キッチン付きなので、お料理教室や開業前のプレ店舗としての利用も可能です。 利用時間はam8:00~pm9:00。利用料は１時間毎500円（最初の１時間のみ1000円）となっております。"
中屋酒店,食品関連,http://nakayasake.eshizuoka.jp/,島田市横岡新田228,138.1210574,34.8473418,0547-45-3208,0547453208,8:00～21:00（酒場は16時～）,火曜,"笑顔と元気をモットーに美味しい♪楽しい♪やさしい♪をお客様にお届けします♪「酒場」併設の昔ながらの酒屋です。オススメは当店オリジナル純米酒「かなや日和」当日は「街はずれの酒場LIVE」同時開催♪（３バンド出演予定）"
食堂カフェ　樵　kikori,飲食,http://kikori-shokudou.com,静岡県島田市横岡５７９－１,138.1149662,34.8568598,0547-54-5858,0547545858,11:00～17:00 （L.O.16:30）,火水　月2回の月曜日,"きこりが収穫した「山の恵み」を味わえる小さな食堂カフェ。鹿・猪を使ったジビエ料理。南アルプスで穫れた自家養蜂の日本蜂蜜を使ったお菓子。田舎町にあるちょっと変わった雰囲気をお楽しみください…"
