五十音,店舗名,住所,電話番号,サービス内容,一言PR,お店の特徴,ホームページ,営業時間,定休日,駐車場,その他,スタンプラリー,メッセンジャー,ジャンル,
か,片川工務店,静岡県島田市向谷4-1014-2,0547-37-3118,初公開となる、シマアツ城キッズ天守閣の最上階に登りお宝をゲットしよう！お母さんはかわいいインテリア雑貨とカッコいいアンティーク雑貨に釘付け。お手頃価格にて販売いたします。,あなたのお部屋の雰囲気に似合う手作りの木製インテリア雑貨とアンティーク雑貨をお手頃価格にて販売いたします。お子様も楽しめるお店です。是非御来店下さい。,,http://www.katakawakoumten.jp/,8：00～18：00,水曜日,５台,,,参加する,その他,katakawakoumuten.jpg
か,株式会社カネハチ初倉店,静岡県島田市阪本1462-1,0547-38-1331,シマアツ限定商品の販売,地域に密着する明るく楽しいスーパーです,地域に密着したいお店です 地域を盛り上げたいお店です お客様の為になる価値あるものを提供したいお店です お客様と笑顔で触れ合いたいお店です お客様を愛したいお店です そんな心のお店です,,9:00～20:00,原則無休,６０台,,,参加する,食品関連,
か,Cafe &Cafe ポプリ,島田市大津通り4－3,0547-36-7771,島田市緑茶化計画サブレプレ販売 次回使用可能 イラストケーキ割引券プレゼントワークショップ（①女神メイク＆美眉②耳つぼ③アイシングクッキー④アロマキャンドル⑤手相⑥チョークアート）,今回、島田市緑茶化計画の一環で島田茶を使ってサブレを販売予定（計画進行中）,トアルコトラジャコーヒーの飲める店として、県内からお客様が、おいでくださっています。実は ハンバーグの美味しいお店としても、根強い人気店。イラストデコレーションは全国に発送している実力店 クオリティーの高さとリーズナブルなお値段は他店を寄せ付けません！,http://popuri-co.jp,AM10:00～LOPM9:30,第2・第4 木曜日,8台,,,参加しない,飲食,
か,クルマ買取・輸出 カースタ／（株）田中石油店,静岡県島田市船木244-5,0547-38-0079,〇大好評！らくがき自動車！〇クルマの下に潜ってみよう！〇クルマの洗車拭き取り体験！,どんなクルマも普通車最低2万円、軽自動車最低5千円で買い取ります！,出光のガソリンスタンドです！車の輸出・買取だけでなくレンタカーや中古車の販売もしています。今年から新車の個人向けリースも始めました！クルマのことならなんでもご相談に乗ります。ぜひ一度お立ち寄りくださいね！,http://www.facebook.com/CarexporterCARSTA/,7:00～20:00（日曜：8:00～19:00）,なし,あり（3台）,,,参加する,その他,
か,桑原精肉店,静岡県島田市本通１丁１-１７,0547-35-3258,シマアツ合言葉で、焼豚 ￥430(税別)→￥398(税別)にさせて頂きます。,美味しい焼豚がまってます。,焼豚 ローストチキン 精肉などを真空パックにして地方発送をしております 賞味期限は一週間になっております 加工品は湯煎で温めてお食べいただけます 御注文 お待ちして居ります,http://焼豚.jp,09:00～18:00,水曜,5台,,,参加しない,食品関連,
か,ゴルフ室内練習場 ショットメーカー,静岡県島田市中河996-1,0547-38-3293,練習場利用料半額+アプリダウンロードで割引クーポンプレゼント！,未経験者大歓迎！気軽にゴルフを楽しんでみませんか？,雨風に関係無く練習できる室内型です。時間制打ち放題なので、スイング作りに最適です。,http://shotmaker.golf-hp.com/,6時～22時(21時受付終了),無し,11台,,,参加する,その他,
か,喫茶　カンサー,静岡県島田市金谷富士見町1681-76,0547-46-1733,ランチに、通常ヨーグルトのデザートですがミニケーキになります。会計のときに、シマアツカンアツの合言葉で少なからずのきもちで、粗品をプレゼントします。,金谷から焼津まで一望できて冬は富士山も真正面にみえます。,カンサーからは焼津までを、一望できます。天気のいい日には。駿河湾がみえ、伊豆もみえます。冬には、真正面に、富士山がみえて四季折々を、楽しむことができます。富士山にちなかんだスイーツの、富士山パンケーキが、人気の商品となってます。是非一度お召し上がりください。,http://shizuoka.j47.jp/cancer/,10:00-21:00  ラストオーダー8:30,月曜日,15台,,,参加しない,飲食,kansa.jpeg
か,花と香りの店　カモマイル,静岡県島田市金谷栄町3465-1,0547-45-3752,●3個ポイントを集めると（購入やワークショップをやると）お花の苗プレゼント●ジャンケン大会  15時30分〜16時イベント最後のお楽しみ出店者の方々が協賛してくれる景品（約30個）をジャンケンでゲットしよう！,ハンドメイド雑貨、食品販売、ワークショップ、癒し、音楽など楽しみ盛り沢山のイベントです,切り花をはじめ、園芸品やプリザーブドフラワー、フレグランスフラワーなどカモマイルのオリジナルを多種販売しています。手づくり雑貨の委託販売も人気の作家さんの素敵な物を取り揃えた楽しいお店です。各種教室も開講（フラワーアレンジ、ブーケコサージュ、フラワーセラピー＆アロマ、生け花、プリザーブド）随時生徒募集中です。シマアツでは。この日だけの楽しい！美味しい！素敵！を一杯ご用意しますので、是非遊びに来てください。レモネードスタンドチャリティーも行います。,https://www.eflora.co.jp/shop/kamomairu/,9時30分〜18時,日曜日（シマアツはイベント営業）,3台,,,参加する,その他,
さ,サンカク公園プロジェクト,静岡県島田市栄町2-3,090-6362-0683,ソライロビルで人気の「ヨガ講座」をサンカク公園で開催します！日曜日の朝、青空の下 気持ちよく身体を動かしましょう！ヨガの後は身体に優しい朝ごはんでリセット。 お持ち帰りもできます。,島田駅前 サンカク公園で新しいライフスタイル見つけてね！,,,7:30〜8:30,不定休,無し,,,参加しない,その他,sankakukouen.jpg
さ,シェアキッチンTHE GROUND,島田市栄町2-3,090-6362-0683,お星さまクッキーをプレゼント,サンカク公園で「星空テントを楽しもう★」プラネタリウムでテントに星空を投影します。,みんなで使うシェアキッチン「THE GROUND」はキッチン付きのレンタルスペースです！ ★自分の得意を活かし「1日カフェ」をオープン！ ★仲間と一緒に貸切パーティー ★キッチン付きだからできる！お料理教室 など、みなさんのアイデアで多様にご活用ください！,http://sorailo.com,不定,不定,無し,,,参加しない,その他,
さ,食堂カフェ 樵 kikori,静岡県島田市横岡579-1,0547-54-5858,お日様が顔を出すのが早くなった夏。少し早めにお出掛けして…【樵で朝ごはん】シマアツの美味しいモノを集めた朝ごはん。（メニューは、FBをご確認ください。）朝ごはんの時間  9:00〜10:30完全予約制になります。,きこりが収穫した「山の恵み」を味わえる小さな食堂カフェです。,きこりが収穫した「山の恵み」を味わえる小さな食堂カフェ。鹿・猪を使ったジビエ料理。南アルプスで穫れた自家養蜂の日本蜂蜜を使ったお菓子。田舎町にあるちょっと変わった雰囲気をお楽しみください…,http://kikori-shokudou.com,11:00～17:00 （L.O.16:30）,火・水曜日と月2回の月曜日,５台,,,参加する,飲食,
さ,写真工房（有）モリサワ,静岡県島田市金谷栄町3537,0547-45-5753,,お一人1カット500円でSNSプロフィール撮影いたします。(撮影後にメールで画像送信) 予約の方が優先となりますので、お時間決まりましたら是非ご予約をお願いいたします！(^^),証明写真から出張撮影。写真の現像プリント。写真の事ならなんでもご相談ください。,証明写真から記念撮影、写真の現像からブリント、写真の事なら何でもご相談ください。大切な家族の今をのこす家族写真の撮影はいかがでしょうか？１名様から２０名様くらいまで、当スタジオで撮影可能です。また、出張撮影も承ります。マイナンバーやパスポートなどの証明写真もすぐに仕上げます。大人の肖像撮影、LIFEPHOTOも特別価格４，９８０円（６５歳以上・税別）にて好評予約受付中です。,http://morisawastudio.com,月曜から土9時から19時 日曜祝祭日9時から18時,8台,,,参加する,その他,
さ,シバモク・ショップ,静岡県島田市東町1379,0547-35-0612,楽しい仲間のお店を呼んでマルシェやっちゃいます。,木製雑貨専門店。可愛い玩具から生活雑貨までご用意してお待ちしております,木製雑貨専門店のシバモク・ショップです。小さいお店ですが、木の製品がいっぱい！出産祝い等にぴったりな木のおもちゃ！お料理や食事が楽しくなる木の食器類など木製雑貨が好きな方ならワクワクするお店です。店内の商品は限られてしまいますが、オーダー家具や木製看板の製作等、企画・デザイン・製作・取付・修理まで対応いたしますので、お気軽にご相談ください！,http://www.shibamoku.com,10:00～18:00,不定休,５台,,,参加する,雑貨,
さ,ジャパンバザール,静岡県島田市阪本4245-3,0547-38-5505,シマアツスペシャルかき氷,新鮮野菜と地元育ちの葵牛、餃子も美味しいよ,地元の牧場で育った美味しい牛肉、県内産の柔らかい豚肉、地元農家の方々の朝どり新鮮野菜や季節の果物が店頭に並んでいます,,9:00～17:30,1月1日～5日,有り30台,,,参加する,食品関連,
さ,シマダリフォーム,静岡県島田市本通1-3-4,0547-37-5421,●ボディージュエリー体験（200円）●らっきいさんのマジックショー（随時、マンツーマンです）●合言葉で、かわいいキャンディバルーンプレゼント●気分にあったシマアツおすすめコースの写真展示,母と娘、まごころ込めてお直しします。シマアツの日は、シマアツのコースの相談にものりますよ♪,地元で創業35年。紳士服と婦人服の両方を修業したプロの職人が１つ１つ丁寧にお直しいたします！気やすさを重視した提案力で、お客様1人1人にあったお直しをいたします。安心安全のアフターフォローあり。洋服の事なら、当店にお任せください。,https://shimada-reform.jimdo.com/,9:00～19:00,水曜,1台,,,参加する,衣類,
さ,島田シール製作所,静岡県島田市井口198,0547-38-1570,シマアツステッカープレゼント,食洗機に入れても大丈夫な名前シール作りませんか❓,,http://shimadaseal.com,8:00から17:00,土日,15台,,,参加しない,その他,siiruseisakujyo.jpg
さ,株式会社 鈴木モータース,静岡県島田市船木249-4,0547-38-0077,１、新車15万値引き　２、ダイハツのスポーツカーに試乗(予定)　３、スーパーボールすくい　４、新車が月々１万円から　５、成約プレゼント 　６、インスタ映え間違いなし！ポップコーン！,新車は月々1万円から！,鈴木モータースは創立してから60年以上、ダイハツの車を中心に、新車販売・中古車販売・点検・各種保険を扱ってきました。月々１万円（税別）のリースや、残価設定型クレジットで月々のお支払金額を抑えた買い方など、お客様のニーズに合わせた新しい買い方もお選びいただけます。,http://www.carbell.jp/partner/partner_detail.php?cd=1000000639&no=0,８時～１７時,日曜 祝日,4台,,,参加する,その他,
さ,そね接骨院,静岡県島田市本通1-4-7,0547-54-4165,・足湯無料体験・マッサージベッド無料体験・健康測定・ベッドリフレ,皆様の健康に貢献します！,当院では、低周波治療器を用いたハイボルテージ療法やランダムアクセス波などを使い症状や部位に応じた治療を行います。日頃からの身体に関するお悩みから、スポーツや交通事故などでのお怪我まで承ります。一緒に完治させましょう！,http://sonesekkotsuin.web.fc2.com,8:00～11:30、15:00～19:00,日曜 ・祝日、水曜午後と土曜午後,10台,,,参加する,その他,
た,小さな雑貨屋 ぽっけ,静岡県島田市中央町15-9,0547-54-4426,シマアツの合言葉で福引やヨーヨーすくいができます＼(^o^)／,実用的なものからギフトまで(о´∀`о),大事な人や仲のいい友達へのプレゼントや頑張っている自分へのごほうびなどに選んでいただける、キッチン用品やタオル、観葉植物やガーデンアクセサリー、今流行りのアロマやファッションとアクセサリーの他、ハンドメイドの作家さん達による作品など見ているだけでも楽しい雑貨達がいっぱいです。,http://ameblo.jp/poche-zakka,10:00～19：00,毎週火曜日（祭日は営業日、翌日休みになります。）,5台,,チラシを多めに下さい。,参加する,雑貨,
た,This Is Cafe 新金谷駅店,静岡県島田市金谷東2-1112-2 新金谷駅構内,0547-46-5810,420円以上のドリンクご注文のお客様に、ホームメイドクッキーをプレゼント。,大井川鐵道・新金谷駅改札横のコーヒースタンド！,This Is Cafe 新金谷駅店は、SL列車の始発駅でもある「大井川鐵道 新金谷駅」構内のコーヒースタンドです。ここではバリスタが淹れる本格コーヒーが味わえます。オーダーを受けてから一杯ごとに豆から挽き、いつでも挽き立ての味を堪能できます。This Is Cafe自慢のカフェラテを、SLとコラボさせた「SLラテ」が飲めるのは全４店舗の中でもここだけです。旅の思い出に記念撮影スポットもご用意しています。また、ホットドッグやサンドイッチなどの軽食はドリンクとの相性も抜群！ドリンク、フードすべてテイクアウト＆車内持ち込みＯＫです！ 至極の一杯を、ぜひSLと共にご堪能ください。,http://this-is-cafe.com/,9:00-17:00(L.O.16:30),不定休(営業日はFacebookをご確認ください),新金谷駅コインパーキング20分無料,,,参加する,飲食,
た,とろろ屋ととろ,静岡県島田市金谷富士見町3172,0547-32-9637,お食事のお客様、ドリンク一杯サービス！,自然薯農家の創作料理、日本酒、居酒屋メニューあり！,オリジナリティ溢れた自然薯料理、夜は居酒屋メニュー、島田のお酒も豊富にあります。お食事、宴会、法事、飲み会、全てに対応できます。,http://tororoyatotoro.com,11:00-15:00　　17:00-21:00(水曜日ランチのみ営業),木曜日,15台,,,参加する,飲食,
た,とろろ屋ととろ　初倉店,静岡県島田市阪本938-1,0547-39-7088,お食事の方にシマアツの合言葉でソフトドリンク1杯サービス！,,農を食で繋ぎ笑顔をつくるお店！ご来店お待ちしております。,http://tororoyatotoro.com/,11:00〜15:00/17:00〜22:00（水曜日は15:00まで）,木曜日,有 20台,,,参加する,飲食,totorohatsukura.jpg
な,株)なるおかサイクル,島田市大井町6-11,0547-37-3609,"パーツクリーナ?1,620のところ?600 駄菓子プレゼント！ シマアツ限定セール開催",売って、走って、直せる自転車屋！,第一回から参加させて頂いております、総合自転車店です！海外有名スポーツサイクルブランド、TREK SPECIALIZED cannondel PINARELLOを扱っております！是非、遊びに来て下さい！,http://www.naro-jp.com,平日11:00～20:00 週末10:00～20:00,水曜,4台あります。,,,参加しない,その他,
な,中屋酒店,静岡県島田市横岡新田228,0547-45-3208,合言葉で店頭でも酒場でも使えるサービス券をプレゼント,昔ながらの酒屋の「酒場」で真っ昼間から、お酒と音楽を楽しんじゃいませんか♪,笑顔と元気をモットーに美味しい♪楽しい♪やさしい♪をお客様にお届けします♪「酒場」併設の昔ながらの酒屋です。オススメは当店オリジナル純米酒「かなや日和」 当日は「街はずれの酒場LIVE」同時開催♪（３バンド出演予定）,http://nakayasake.eshizuoka.jp/,営業時間 8:00〜21:00  酒場 16:00〜,第2第4月曜日、毎週火曜日,8台,,チラシ200枚,参加する,食品関連,
な,neu coffee,静岡県藤枝市大西町3-1-7,054-330-1539,,合言葉でスペシャルメニュー注文できます！,オリジナルホットドッグとコーヒーでステキなひとときを,,10:00〜16:00,日曜・月曜,10台,,,参加する,飲食,neucoffee.jpg
は,ビューティスタジオ・ノエ,静岡県島田市日之出町1-3,0547-357888,☆島田市出身のシンガーソングライターＳＨＩＧＥＫＩによる、シマアツ限定ライブ♪（10時半～11時半）お一人様１，０００円（中学生以下無料）。ライブ参加者全員にくじ引き大会有！☆シマアツショップを巡るシマアツショップツアー！（ライブ、ツアーは要予約）☆シマアツ合言葉で、各プレゼント！（女性はフェイシャル優待券、男性はコーヒースティック、子供さんにはお菓子）,美容と健康を通して、お客様とサロンの相互成長を目指しています！,当店は、お客様の実現したい希望や目的に合わせて美容と健康のお手伝いをしています。お客様のキレイの実現の為に、出来ることは全て行い、実現していく事を責任持って営業しております。,http://ameblo.jp/beautystudio-k/,10：00～17：00,日曜・祝日,４台,,,参加する,その他,
は,ふじ膳,島田市栄町2-4,0547-37-3990,ランチタイム 11:30～14:00 シマアツ限定ランチ 通常営業 17:00～0:00 シマアツ合言葉で一品サービス,シマアツを楽しみにして下さるお客様様とスタッフも１日楽しみたいと思います！,島田駅から徒歩１分！創業38年。家庭的な居酒屋ふじ膳です。いつもは夜の営業ですが…シマアツ限定でランチ営業をさせて頂いてます。初めての方もランチタイムを是非覗いてみて下さい。お待ちしてまーす。,,11:00～14:00 17:00～0:00,月曜,３台,,,参加しない,飲食,
は,bloom アロマのお店,静岡県島田市栄町2-1,0547-37-8210,マルシェを開催します。　女性が好きなもの、綺麗なもの、かわいい物など揃えて 目で、鼻で お楽しみいけたらと思います。,美容と癒しのサロンです。敷居が高くないエステサロンです。お気軽にいらしてください。,島田市には少ない アロマとエステのお店です。アロマ教室の生徒さんだけでなく、一般のお客様にも【アロマクラフト】として、アロマを混ぜてお作りするオリジナルの香りのアイテム各種の販売もしております。美容部門では、しっかり抜ける脱毛のほか バストケア、美顔等も行っており アロマの焚かれたお部屋でのリラックスも兼ねたケアがご好評いただいています。,http://aromacarebloom.web.fc2.com/,10:00～19:00,水曜日,無し,,,参加する,その他,
は,（株）フジタ塗装,静岡県島田市船木328-11,0547-32-9972,小さいバケツや小物入れを塗り、オリジナル小物入れを作ります。,外壁塗装、雨漏りでお困りの方はご連絡ください！,,http://www.fujitatosou.jp,8時から19時,日曜,有り 5台,,参加する,,その他,fujitatosou.jpg
は,文具・事務機のオカダ,静岡県島田市本通三丁目5-7,0547-36-2626,最新文具や今まで使ったことのなかった文具など、いろいろ試せる【ぶんぐラボ】を開催！全部試した方には記念品プレゼント！,文具や雑貨、こだわりのアイテム揃えてます！,定番や最新の文具や画材、その他セレクトした雑貨などを揃えています。2F工房では名刺や封筒印刷、チラシやDMなどのデザインも行っています。なんでもお気軽にご相談ください。,,平日・土曜日 9:00-20:00 日曜・祝日 10:00-19:00,なし,10,,200,参加する,雑貨,
は,細島屋 花水木,静岡県島田市中河町366-1,0547-35-5622,ブログ、facebook、Twitter、instagram など…当店の朝そばを投稿してくださり、その投稿画面を会計時にご提示していただければ「10%OFF!」致します。料理の写真、食べてる様子、お店の店内や外観など、朝そばのことを一言でも入れてくれれば対象となります。朝の営業時間(7:00-9:00)対象のシマアツサービスです。,朝そばで新しい食文化を開拓中,朝は朝そば。昼はそば・うどん、丼の豊富な品揃えと、それらを組み合わせたセットメニューをご用意。地元で50年続く蕎麦屋です。,http://hosojimaya.eshizuoka.jp/,7:00-9:00  11:00-14:00,土曜日,２０台,,,参加しない,飲食,hosojimayahanamizuki.jpg
は,Boulderingたきび,静岡県島田市大津通14-6,090-1236-2693,ボルダリング体験コース、エリア限定、登録不要で簡単なボルダリングを体験できます,小さいながら本格的なボルダリングが楽しめます,,http://r.goope.jp/boulderingtakibi/,平日　14:00～22:00 (1.3.5水　18:00～22:00) 土曜　10:00～22:00　日.祝　10:00~20:00,火曜.第2.4水曜,９台,,,参加する,その他,takibi.jpg
は,Honda Cars 島田西 金谷店,静岡県島田市金谷東一丁目1300-1,0547-45-2324,ホンダグッズプレゼント,いつも元気！安心と安全をお届けします。,当店は日当たり良好、とても明るく開放的なお店です。常時、展示・試乗車も多数ございます。ぜひ来て、見て、乗って、体感してみて下さい。旧車から新型車までメーカー問わず整備もお任せ下さい。キッズコーナーもご用意しております。お子様連れのお客様も安心してお越し下さいませ,http://www.hondacars-shimadanishi.com,9:30～19:00,月曜日,10台,,当店窓口は柴田が担当させて頂きます。実際の運営参加は弊社営業部長の児玉と店長鈴木がお邪魔致しますので何卒よろしくお願い申し上げます,参加する,その他,
は,Honda　Cars島田西 中溝店,静岡県島田市中溝町1707-16,0547-35-3328,ホンダグッズプレゼント,いつも元気！安心と安全をお届けします。,,http://www.hondacars-shimadanishi.com/,9：30～19：00,月曜日,７台,,,参加する,その他,hondashimada.JPG
は,ほぐしハウス konokono~ｺﾉｺﾉ~,静岡県島田市大津通8-2,090-6381-5500,15分ワンコイン¥500でお疲れの部分をほぐします。お二人様でのご来店も大歓迎♫(施術はお一人様ずつになりますので、お待ちの方は様子を見学して下さい)当日も通常通り予約制とさせて頂きますので、事前にお問い合わせ下さい。,お疲れのお身体を優しく柔らかに癒します♫,人知れず毎日お仕事や家事を頑張っているあなたへ。お疲れになったその身体をオンリーワンの手揉み技術で優しく柔らかに癒します。,,平日9:00〜20:00 土日9:00〜18:00,火曜日.祝日,1台,,,参加しない,その他,hogushihausu_konokono.jpg
ま,マルイエ醤油川根本家,静岡県島田市川根町家山796,0547-53-2212,お客様に、一杯一杯お味噌汁をお作りします。こだわりの出汁、マルイエのお味噌、具はお楽しみに！（一杯５００円）女将が作るのかなぁ～、四代目が作るのかなぁ～,糀を使った発酵食品で、体の中からキレイに！,創業43年。代々受け継がれてきた製法で、味噌醤油を製造販売しています。糀を使った調味料なども販売しています。,http://www.maruie-shouyu.com,am10:00～pm6:00,水曜日,３台,,,参加する,食品関連,
ま,村松時計店,静岡県島田市本通３丁目６－１,0547-35-2653,時計の電池交換２０%OFF、子どもさんには、ガラガラ抽選で景品が当たります！ぜひ御家族で御来店下さい♪,販売、修理、買取、時計の専門店,創業100年！！ビンテージ時計が大好きな店主です。一緒に大好きな時計のお話しをしましょう♪時計でお困りの方は御相談下さい。,,ＡＭ９：００～ＰＭ６：００,水、祝祭日,,,,参加する,雑貨,
や,お食事処　やまざと,静岡県島田市金谷栄町3476-1,0547-46-2430,合言葉でお食事セット4種1728円を1500円にてご提供します！,静岡産美味鶏（200g）の唐揚げ定食が人気です！,ご家族、お友達、グループなど幅広くご利用頂いています。定食、麺類、お弁当。特に好評「日替りランチ」。女性に人気、「海鮮サラダ」「天ぷら」。,,"11:00〜14:00 ,17:00〜23:00",月曜日　第三火曜日（祝日変更有）,10台,,,参加する,飲食,
ら,ラブリーホースガーデン,静岡県島田市川根町家山1229-2,0547-53-4079,馬やポニーを間近で見てみよう!,,,http://www.lovelyhorsegarden.com/,9：00-17：00,不定休なので電話でご確認ください,,,,参加しない,その他,
ら,ラ・ミニョン,静岡県島田市本通6丁目7814,090-7867-3377,日曜日にはランチは無いのですが、シマアツ限定ランチをお作りします。限定８食のみです。１０８０円。タロット占いサービスもあります。,パワースポットのカエルちゃんがあなたを待っています❤,隠れ家的な所にカフェ&レンタルスペースが有ります。六丁目の小澤タバコやの中が喫茶になっています。探してください。身体に良い飲み物をセレクトして、ご用意しております。ランチも始めました。8人用のレンタルスペース、ミーティング、会議、ワークショップとお気軽にご利用ください?,http://minyonss.jp/,10:00～17：00,月曜日木曜日,2台,,,参加する,その他,
ら,龍月堂,静岡県島田市本通6丁目7847,0547-37-3297,シマアツコラボ商品の販売をします。,時代に合った菓子作りをしてます。,良い材料を使い、伝統を守りつつ新しいお菓子を提案しております。季節ごとにお菓子が変わって行きますので、移り変わりを楽しんで下さい。定番の味噌饅頭、生クリーム大福、大吟醸カステラもオススメです。,http://shizuoka.j47.jp/ryugetsudo/,8:00～19:30,火曜,有(6台),,,参加する,食品関連,
