店舗名,郵便番号,住所,営業時間,定休日,カード（カード使用ができるかどうか）,電話,URL,緯度,経度,店舗紹介,頭文字
食堂カフェ 樵 kikori,428-0004,静岡県島田市横岡579-1,11:00～17:00 （L.O.16:30）,火・水曜日と月2回の月曜日,,0547-54-5858,http://kikori-shokudou.com,34.857157,138.115655,きこりが収穫した「山の恵み」を味わえる小さな食堂カフェ。鹿・猪を使ったジビエ料理。南アルプスで穫れた自家養蜂の日本蜂蜜を使ったお菓子。田舎町にあるちょっと変わった雰囲気をお楽しみください…,さ
写真工房（有）モリサワ,428-0017,静岡県島田市金谷栄町3537,月曜から土9時から19時 日曜祝祭日9時から18時,木曜日,,0547-45-5753,http://morisawastudio.com,34.830983,138.129033,証明写真から記念撮影、写真の現像からブリント、写真の事なら何でもご相談ください。大切な家族の今をのこす家族写真の撮影はいかがでしょうか？１名様から２０名様くらいまで、当スタジオで撮影可能です。また、出張撮影も承ります。マイナンバーやパスポートなどの証明写真もすぐに仕上げます。大人の肖像撮影、LIFEPHOTOも特別価格４，９８０円（６５歳以上・税別）にて好評予約受付中です。,さ
シバモク・ショップ,427-0011,静岡県島田市東町1379,10:00～18:00,不定休,,0547-35-0612,http://www.shibamoku.com,34.835564,138.22787,木製雑貨専門店のシバモク・ショップです。小さいお店ですが、木の製品がいっぱい！出産祝い等にぴったりな木のおもちゃ！お料理や食事が楽しくなる木の食器類など木製雑貨が好きな方ならワクワクするお店です。店内の商品は限られてしまいますが、オーダー家具や木製看板の製作等、企画・デザイン・製作・取付・修理まで対応いたしますので、お気軽にご相談ください！,さ
ジャパンバザール,427-0111,静岡県島田市阪本4245-3,9:00～17:30,1月1日～5日,,0547-38-5505,,34.815846,138.208176,地元の牧場で育った美味しい牛肉、県内産の柔らかい豚肉、地元農家の方々の朝どり新鮮野菜や季節の果物が店頭に並んでいます,さ
シマダリフォーム,427-0022,静岡県島田市本通1-3-4,9:00～19:00,水曜,,0547-37-5421,https://shimada-reform.jimdo.com/,34.832892,138.172625,地元で創業35年。紳士服と婦人服の両方を修業したプロの職人が１つ１つ丁寧にお直しいたします！気やすさを重視した提案力で、お客様1人1人にあったお直しをいたします。安心安全のアフターフォローあり。洋服の事なら、当店にお任せください。,さ
島田シール製作所,427-0104,静岡県島田市井口198,8:00から17:00,土日,,0547-38-1570,http://shimadaseal.com,34.793844,138.23015,,さ
株式会社 鈴木モータース,427-0107,静岡県島田市船木249-4,８時～１７時,日曜 祝日,,0547-38-0077,http://www.carbell.jp/partner/partner_detail.php?cd=1000000639&no=0,34.804274,138.223894,鈴木モータースは創立してから60年以上、ダイハツの車を中心に、新車販売・中古車販売・点検・各種保険を扱ってきました。月々１万円（税別）のリースや、残価設定型クレジットで月々のお支払金額を抑えた買い方など、お客様のニーズに合わせた新しい買い方もお選びいただけます。,た
そね接骨院,427-0022,静岡県島田市本通1-4-7,8:00～11:30、15:00～19:00,日曜 ・祝日、水曜午後と土曜午後,,0547-54-4165,http://sonesekkotsuin.web.fc2.com,34.8327,138.172215,当院では、低周波治療器を用いたハイボルテージ療法やランダムアクセス波などを使い症状や部位に応じた治療を行います。日頃からの身体に関するお悩みから、スポーツや交通事故などでのお怪我まで承ります。一緒に完治させましょう！,た
小さな雑貨屋 ぽっけ,427-0042,静岡県島田市中央町15-9,10:00～19：00,毎週火曜日（祭日は営業日、翌日休みになります。）,,0547-54-4426,http://ameblo.jp/poche-zakka,34.837402,138.175444,大事な人や仲のいい友達へのプレゼントや頑張っている自分へのごほうびなどに選んでいただける、キッチン用品やタオル、観葉植物やガーデンアクセサリー、今流行りのアロマやファッションとアクセサリーの他、ハンドメイドの作家さん達による作品など見ているだけでも楽しい雑貨達がいっぱいです。,た
This Is Cafe 新金谷駅店,428-0013,静岡県島田市金谷東2-1112-2 新金谷駅構内,9:00-17:00(L.O.16:30),不定休(営業日はFacebookをご確認ください),,0547-46-5810,http://this-is-cafe.com/,34.826055,138.136961,This Is Cafe 新金谷駅店は、SL列車の始発駅でもある「大井川鐵道 新金谷駅」構内のコーヒースタンドです。ここではバリスタが淹れる本格コーヒーが味わえます。オーダーを受けてから一杯ごとに豆から挽き、いつでも挽き立ての味を堪能できます。This Is Cafe自慢のカフェラテを、SLとコラボさせた「SLラテ」が飲めるのは全４店舗の中でもここだけです。旅の思い出に記念撮影スポットもご用意しています。また、ホットドッグやサンドイッチなどの軽食はドリンクとの相性も抜群！ドリンク、フードすべてテイクアウト＆車内持ち込みＯＫです！ 至極の一杯を、ぜひSLと共にご堪能ください。,た
とろろ屋ととろ,428-0034,静岡県島田市金谷富士見町3172,11:00-15:00　　17:00-21:00(水曜日ランチのみ営業),木曜日,,0547-32-9637,http://tororoyatotoro.com,34.813634,138.134102,オリジナリティ溢れた自然薯料理、夜は居酒屋メニュー、島田のお酒も豊富にあります。お食事、宴会、法事、飲み会、全てに対応できます。,な
とろろ屋ととろ　初倉店,427-0111,静岡県島田市阪本938-1,11:00?15:00/17:00?22:00（水曜日は15:00まで）,木曜日,,0547-39-7088,http://tororoyatotoro.com/,34.81324,138.216187,農を食で繋ぎ笑顔をつくるお店！ご来店お待ちしております。,な
株)なるおかサイクル,,島田市大井町6-11,平日11:00～20:00 週末10:00～20:00,水曜,,0547-37-3609,http://www.naro-jp.com,34.833842,138.172718,第一回から参加させて頂いております、総合自転車店です！海外有名スポーツサイクルブランド、TREK SPECIALIZED cannondel PINARELLOを扱っております！是非、遊びに来て下さい！,な
中屋酒店,428-0005,静岡県島田市横岡新田228,営業時間 8:00?21:00 酒場 16:00?,第2第4月曜日、毎週火曜日,,0547-45-3208,http://nakayasake.eshizuoka.jp/,34.847551,138.121018,笑顔と元気をモットーに美味しい♪楽しい♪やさしい♪をお客様にお届けします♪「酒場」併設の昔ながらの酒屋です。オススメは当店オリジナル純米酒「かなや日和」 当日は「街はずれの酒場LIVE」同時開催♪（３バンド出演予定）,は
neu coffee,426-0055,静岡県藤枝市大西町3-1-7,10:00?16:00,日曜・月曜,,054-330-1539,,34.828761,138.223761,,は
ビューティスタジオ・ノエ,427-0029,静岡県島田市日之出町1-3,10：00～17：00,日曜・祝日,,0547-357888,http://ameblo.jp/beautystudio-k/,34.832064,138.174813,当店は、お客様の実現したい希望や目的に合わせて美容と健康のお手伝いをしています。お客様のキレイの実現の為に、出来ることは全て行い、実現していく事を責任持って営業しております。,は
ふじ膳,,島田市栄町2-4,11:00～14:00 17:00～0:00,月曜,,0547-37-3990,,34.831284,138.174933,島田駅から徒歩１分！創業38年。家庭的な居酒屋ふじ膳です。いつもは夜の営業ですが…シマアツ限定でランチ営業をさせて頂いてます。初めての方もランチタイムを是非覗いてみて下さい。お待ちしてまーす。,は
bloom アロマのお店,427-0028,静岡県島田市栄町2-1,10:00～19:00,水曜日,,0547-37-8210,http://aromacarebloom.web.fc2.com/,34.831289,138.174511,島田市には少ない アロマとエステのお店です。アロマ教室の生徒さんだけでなく、一般のお客様にも【アロマクラフト】として、アロマを混ぜてお作りするオリジナルの香りのアイテム各種の販売もしております。美容部門では、しっかり抜ける脱毛のほか バストケア、美顔等も行っており アロマの焚かれたお部屋でのリラックスも兼ねたケアがご好評いただいています。,は
（株）フジタ塗装,427-0107,静岡県島田市船木328-11,8時から19時,日曜,,0547-32-9972,http://www.fujitatosou.jp,34.800823,138.226228,,は
文具・事務機のオカダ,427-0022,静岡県島田市本通三丁目5-7,平日・土曜日 9:00-20:00 日曜・祝日 10:00-19:00,なし,,0547-36-2626,,34.832863,138.175972,定番や最新の文具や画材、その他セレクトした雑貨などを揃えています。2F工房では名刺や封筒印刷、チラシやDMなどのデザインも行っています。なんでもお気軽にご相談ください。,は
細島屋 花水木,427-0041,静岡県島田市中河町366-1,7:00-9:00 11:00-14:00,土曜日,,0547-35-5622,http://hosojimaya.eshizuoka.jp/,34.841671,138.176095,朝は朝そば。昼はそば・うどん、丼の豊富な品揃えと、それらを組み合わせたセットメニューをご用意。地元で50年続く蕎麦屋です。,は
Boulderingたきび,427-0056,静岡県島田市大津通14-6,平日　14:00~22:00 (1.3.5水　18:00~22:00) 土曜　10:00~22:00　日.祝　10:00~20:00,火曜.第2.4水曜,,090-1236-2693,http://r.goope.jp/boulderingtakibi/,34.833735,138.179014,,は
Honda Cars 島田西 金谷店,428-0013,静岡県島田市金谷東一丁目1300-1,9:30～19:00,月曜日,,0547-45-2324,http://www.hondacars-shimadanishi.com,34.828499,138.138959,当店は日当たり良好、とても明るく開放的なお店です。常時、展示・試乗車も多数ございます。ぜひ来て、見て、乗って、体感してみて下さい。旧車から新型車までメーカー問わず整備もお任せ下さい。キッズコーナーもご用意しております。お子様連れのお客様も安心してお越し下さいませ,は
HondaCars島田西 中溝店,427-0047,静岡県島田市中溝町1707-16,9：30～19：00,月曜日,,0547-35-3328,http://www.hondacars-shimadanishi.com/,34.841001,138.169337,,ま
ほぐしハウス konokono~ｺﾉｺﾉ~,427-0056,静岡県島田市大津通8-2,平日9:00?20:00 土日9:00?18:00,火曜日.祝日,,090-6381-5500,,34.835476,138.178853,人知れず毎日お仕事や家事を頑張っているあなたへ。お疲れになったその身体をオンリーワンの手揉み技術で優しく柔らかに癒します。,ま
マルイエ醤油川根本家,428-0104,静岡県島田市川根町家山796,am10:00~pm6:00,水曜日,,0547-53-2212,http://www.maruie-shouyu.com,34.944174,138.075721,創業43年。代々受け継がれてきた製法で、味噌醤油を製造販売しています。糀を使った調味料なども販売しています。,や
村松時計店,427-0022,静岡県島田市本通３丁目６－１,ＡＭ９：００～ＰＭ６：００,水、祝祭日,,0547-35-2653,,34.831629,138.17388,創業100年！！ビンテージ時計が大好きな店主です。一緒に大好きな時計のお話しをしましょう♪時計でお困りの方は御相談下さい。,ら
お食事処　やまざと,428-0017,静岡県島田市金谷栄町3476-1,"11:00?14:00 ,17:00?23:00",月曜日　第三火曜日（祝日変更有）,,0547-46-2430,,34.83264,138.127169,ご家族、お友達、グループなど幅広くご利用頂いています。定食、麺類、お弁当。特に好評「日替りランチ」。女性に人気、「海鮮サラダ」「天ぷら」。,ら
ラブリーホースガーデン,,静岡県島田市川根町家山1229-2,9：00-17：00,不定休なので電話でご確認ください,,0547-53-4079,http://www.lovelyhorsegarden.com/,34.935344,138.066998,,ら
ラ・ミニョン,427-0022,静岡県島田市本通6丁目7814,10:00～17：00,月曜日木曜日,,090-7867-3377,http://minyonss.jp/,34.832219,138.180322,隠れ家的な所にカフェ&レンタルスペースが有ります。六丁目の小澤タバコやの中が喫茶になっています。探してください。身体に良い飲み物をセレクトして、ご用意しております。ランチも始めました。8人用のレンタルスペース、ミーティング、会議、ワークショップとお気軽にご利用ください?,ら
龍月堂,427-0022,静岡県島田市本通6丁目7847,8:00～19:30,火曜,,0547-37-3297,http://shizuoka.j47.jp/ryugetsudo/,34.832284,138.179496,良い材料を使い、伝統を守りつつ新しいお菓子を提案しております。季節ごとにお菓子が変わって行きますので、移り変わりを楽しんで下さい。定番の味噌饅頭、生クリーム大福、大吟醸カステラもオススメです。,わ
ＲＯＳＥ ＳＨＯＰ,,島田市ばらの丘1丁目２１－１,10：00～17：00 ランチ11：30～ 16：00ラストオーダー,12月～3月の月曜日 他は無休,,0547-37-0888,,34.852228,138.175121,バラのソフトクリームを中心にランチも大人気。バラの雑貨もたくさん揃っています。休日はリゾート気分でぜひお過ごしください。,わ
和食工房 一鮮,427-0019,静岡県島田市道悦5-12-34,ランチタイム 11:00～14:00 デｲナータイム 17:00～22:00 (土曜日は23:30まで),月曜（月一回連休あり）,,0547-36-6416,http://www4.tokai.or.jp/issen/,34.835716,138.208885,和食を中心とした創作料理が楽しめるお店です。お寿司、肉料理、揚げ物、パスタ、鍋物などをご用意しています。女子に人気の「温野菜と厚切ベーコンの和風チーズフォンデュ」もありますよ。,ん
和座こまつ,427-0027,静岡県島田市幸町17-4,11:00-14:00 17:00-22:00 日祝は17:00-21:00,月曜,,0547-37-3681,http://komatsu3.com/,34.833844,138.176024,地元島田市の新鮮な野菜や駿河湾の魚介類を踏んだんに使った四季折々の料理をお楽しみ下さい。地酒や銘酒も取り揃えております。,わ
喫茶 ん,428-0011,静岡県島田市番生寺726-8,火、水、木、日10時?19時 金、土10時?23時,月曜日、第3日曜日,,0547-46-1913,,34.843756,138.12075,SLが見える昔ながらの喫茶店,わ
